title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
Venom: The Last Dance,False,912649,en,4533.723,2024-10-22,649,6.403,Science Fiction
Terrifier 3,False,1034541,en,4174.554,2024-10-09,873,6.9,Horror
Apocalypse Z: The Beginning of the End,False,1118031,es,3508.579,2024-10-04,371,6.8,Drama
The Wild Robot,False,1184918,en,2949.019,2024-09-12,2704,8.494,Animation
The Substance,False,933260,en,2340.232,2024-09-07,1783,7.291,Drama
Transformers One,False,698687,en,1858.319,2024-09-11,645,8.096,Animation
Deadpool & Wolverine,False,533535,en,1738.896,2024-07-24,5192,7.7,Action
Red One,False,845781,en,1569.174,2024-10-31,80,6.7,Action
Alien: Romulus,False,945961,en,1562.503,2024-08-13,2234,7.257,Science Fiction
Arcadian,False,1051896,en,1488.301,2024-04-12,420,6.0,Action
The Count of Monte-Cristo,False,1084736,fr,1206.753,2024-06-28,796,8.3,Action
Joker: Folie à Deux,False,889737,en,1159.375,2024-10-01,1506,5.641,Drama
Venom,False,335983,en,1149.105,2018-09-28,15926,6.835,Science Fiction
Cash Out,False,1116490,en,1120.944,2024-04-26,89,6.2,Action
Despicable Me 4,False,519182,en,1026.242,2024-06-20,2135,7.1,Animation
Venom: Let There Be Carnage,False,580489,en,988.309,2021-09-30,10155,6.799,Science Fiction
Survive,False,1196470,fr,959.421,2024-06-19,42,5.1,Thriller
Take Cover,False,1094974,en,872.107,2024-10-04,44,6.8,Action
Canary Black,False,976734,en,862.222,2024-10-10,219,6.311,Action
Inside Out 2,False,1022789,en,811.612,2024-06-11,4679,7.6,Animation
Dominique,False,1331375,en,755.782,2024-10-11,34,7.206,Action
Gladiator II,False,558449,en,745.969,2024-11-13,40,7.6,Action
Let Go,False,1214484,sv,739.43,2024-11-01,101,8.04,Drama
Do Not Enter,False,1287717,es,702.791,2024-08-06,54,7.63,Horror
Terrifier,False,420634,en,701.111,2018-01-25,2404,6.385,Horror
Sing: Thriller,False,1371727,en,652.294,2024-10-16,84,7.4,Animation
Azrael,False,1029235,en,639.567,2024-09-27,120,6.1,Action
Terrifier 2,False,663712,en,626.918,2022-10-06,2005,6.75,Horror
Time Cut,False,827931,en,625.683,2024-10-29,253,5.654,Horror
Don't Move,False,1063877,en,624.738,2024-10-24,433,6.456,Thriller
Beetlejuice Beetlejuice,False,917496,en,616.277,2024-09-04,1763,7.1,Comedy
The Platform 2,False,1125510,es,597.195,2024-09-27,825,5.656,Science Fiction
Heavenly Touch,False,179387,tl,590.204,2009-05-12,21,6.31,Drama
