id,title,original_title,release_date,overview,genre_ids,original_language,popularity,vote_average,vote_count,adult,genre_names
912649,Venom: The Last Dance,Venom: The Last Dance,2024-10-22,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","[878, 28, 12]",en,4533.723,6.403,644,False,"['Science Fiction', 'Action', 'Adventure']"
1034541,Terrifier 3,Terrifier 3,2024-10-09,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.","[27, 53, 9648]",en,4174.554,7.0,868,False,"['Horror', 'Thriller', 'Mystery']"
1118031,Apocalypse Z: The Beginning of the End,Apocalipsis Z: el principio del fin,2024-10-04,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.","[18, 28, 27]",es,3508.579,6.759,367,False,"['Drama', 'Action', 'Horror']"
1184918,The Wild Robot,The Wild Robot,2024-09-12,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","[16, 878, 10751]",en,2949.019,8.496,2699,False,"['Animation', 'Science Fiction', 'Family']"
933260,The Substance,The Substance,2024-09-07,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","[18, 27, 878]",en,2340.232,7.3,1766,False,"['Drama', 'Horror', 'Science Fiction']"
698687,Transformers One,Transformers One,2024-09-11,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.","[16, 878, 12, 10751]",en,1858.319,8.096,643,False,"['Animation', 'Science Fiction', 'Adventure', 'Family']"
533535,Deadpool & Wolverine,Deadpool & Wolverine,2024-07-24,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","[28, 35, 878]",en,1738.896,7.711,5189,False,"['Action', 'Comedy', 'Science Fiction']"
845781,Red One,Red One,2024-10-31,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.","[28, 35, 12, 14, 10751]",en,1569.174,6.703,79,False,"['Action', 'Comedy', 'Adventure', 'Fantasy', 'Family']"
945961,Alien: Romulus,Alien: Romulus,2024-08-13,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.","[878, 27]",en,1562.503,7.262,2231,False,"['Science Fiction', 'Horror']"
1051896,Arcadian,Arcadian,2024-04-12,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.","[28, 27, 53, 878]",en,1488.301,6.03,419,False,"['Action', 'Horror', 'Thriller', 'Science Fiction']"
1084736,The Count of Monte-Cristo,Le Comte de Monte-Cristo,2024-06-28,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.","[28, 12, 18, 36, 10749, 53]",fr,1206.753,8.284,795,False,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'Thriller']"
889737,Joker: Folie à Deux,Joker: Folie à Deux,2024-10-01,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.","[18, 80, 53]",en,1159.375,5.6,1498,False,"['Drama', 'Crime', 'Thriller']"
